CODCOLIGADA;CODIGO;DESCRICAO;NOME;NUMPONTOS;CBO;RECCREATEDBY;CARGO;INATIVA;ATIVTRANSP;RECCREATEDON;FAIXASALARIAL;RECMODIFIEDBY;DATAULTIMAREVISAO;NUMREVISAO;CBO2002;RECMODIFIEDON;CODPERFILCAND;OBJETIVO;EXIBEORGANOGRAMA;CODFUNCAOCHEFIA;JORNADAREF;CODTIPOFUNCAO;SIGLA;CODCLASSFUNCAO;ESOCIALFUNCAOCONF;ID;LIMITEFUNC;VERBAQUADROVAGAS;PERCQUADROVAGAS;DESCRICAOPPP;CODTABELA;SIMILARIDADEINTEGRACAOGUPY;BENEFPONTOS
1;00011;Auxiliar os clientes no pós-venda e durante a utilização do produto da empresa. Também age no auxilío aos vendedores dando informações específicas a respeito do produto.;Suporte Técnico I;;08320;;06;0;0;;A;mestre;15/07/2002;0;2124-05;16/04/2025;;;T;00005;;;;;;11;0;0;0;Auxiliar os clientes no pós-venda e durante a utilização do produto da empresa. Também age no auxilío aos vendedores dando informações específicas a respeito do produto.;003;;
1;00012;Efetuar a venda do produto ou prestação de serviço respeitando as condições e metas da empresa.;Representante Técnico;;08320;;07;0;0;;B;mestre;15/07/2002;0;2124-05;16/04/2025;;;T;00004;;;;;;12;0;0;0;Efetuar a venda do produto ou prestação de serviço respeitando as condições e metas da empresa.;005;;
1;00013;"Efetuar a venda do produto ou prestação de serviço respeitando as condições e metas da empresa.
Auxiliar os clientes no pós-venda e durante a utilização do produto da empresa.";Vendedor;;08320;;07;0;0;;C;mestre;15/07/2002;0;2124-05;16/04/2025;;;T;00004;;;;;;13;0;0;0;"Efetuar a venda do produto ou prestação de serviço respeitando as condições e metas da empresa.
Auxiliar os clientes no pós-venda e durante a utilização do produto da empresa.";005;;
1;00014;Trabalhar na manutenção de equipamentos instalando sistema, configurando máquinas, redes, banco de dados dentre outros.;Técnico de Informática;;08320;;06;0;0;;B;mestre;15/07/2002;0;2124-05;16/04/2025;;;T;00005;;;;;;14;0;0;0;Trabalhar na manutenção de equipamentos instalando sistema, configurando máquinas, redes, banco de dados dentre outros.;003;;
1;00015;Trabalhar na manutenção de veículos, motores, entre outros.;Técnico Mecânico;;08320;;01;0;0;;;mestre;15/07/2002;0;2124-05;16/04/2025;;;T;00020;;;;;;15;0;0;0;Trabalhar na manutenção de veículos, motores, entre outros.;001;;
1;00016;;Técnico Eletricista;;08320;;01;0;0;;;mestre;15/07/2002;0;2124-05;16/04/2025;;;T;00020;;;;;;16;0;0;0;;001;;
1;00017;;Técnico Eletrônico;;08320;;01;0;0;;;meninas;15/07/2002;0;2124-05;23/10/2025;;;T;00020;;;;;;17;0;0;0;;;;
1;00018;;Técnico Hidráulico;;08320;;01;0;0;;;meninas;15/07/2002;0;2124-05;24/10/2025;;;T;00020;;;;;;18;0;0;0;;EXP01;;
1;00019;;Técnico Lanternagem / Pintura;;08320;;01;0;0;;;mestre;15/07/2002;0;2124-05;16/04/2025;;;T;00020;;;;;;19;0;0;0;;001;;
1;00020;;Chefe de Manutenção;;08320;;09;0;0;;B;mestre;15/07/2001;0;2124-05;16/04/2025;;;T;00003;;;;;;20;0;0;0;;000;;
1;00021;;Atendente;;08320;;01;0;0;;A;mestre;15/07/2002;0;2124-05;16/04/2025;;;T;00003;;;;;;21;0;0;0;;001;;
1;00022;;Técnico Ferramentaria;;08320;;01;0;0;;;mestre;15/07/2002;0;2124-05;16/04/2025;;;T;00020;;;;;;22;0;0;0;;001;;
1;00024;"Responsável por efetuar a compra de materiais, para ser utilizado em obras da construção.
Montagem de Planilhas de Custo Mensal das aquisições efetuadas, bem como orçamentos aprovados para a Gerência Administrativa.";Comprador;;08320;;01;0;0;;A;mestre;;;2124-05;16/04/2025;;;T;00003;;;;;;23;0;0;0;"Responsável por efetuar a compra de materiais, para ser utilizado em obras da construção.
Montagem de Planilhas de Custo Mensal das aquisições efetuadas, bem como orçamentos aprovados para a Gerência Administrativa.";002;;
1;00025;Coordenar e controlar o pessoal da construção,  visando estratégias para diminuir e até mesmo evitar acidentes de trabalho neste setor. Utiliza equipamentos de segurança, visando a redução ou até mesmo o término de registros de acidente de trabalho.;Mestre de Obras;;08320;;09;1;0;;A;mestre;;;2124-05;16/04/2025;;;T;00020;;;;;;24;0;0;0;Coordenar e controlar o pessoal da construção,  visando estratégias para diminuir e até mesmo evitar acidentes de trabalho neste setor. Utiliza equipamentos de segurança, visando a redução ou até mesmo o término de registros de acidente de trabalho.;;;
1;00026;"Responsável direto pelo trabalho dos operários da contstrução. Substituição o mestre-de-obras em sua ausência.
Utiliza equipamentos de segurança, visando a redução ou até mesmo o término de registros de acidente de trabalho.";Encarregado;;08320;;09;0;0;;A;mestre;;;2124-05;16/04/2025;;;T;00025;;;;;;25;0;0;0;"Responsável direto pelo trabalho dos operários da contstrução. Substituição o mestre-de-obras em sua ausência.
Utiliza equipamentos de segurança, visando a redução ou até mesmo o término de registros de acidente de trabalho.";006;;
1;00027;"Responsável por obras na construção civil.
Utiliza equipamentos de segurança, visando a redução ou até mesmo o término de registros de acidente de trabalho.";Pedreiro;;08320;;09;0;0;;A;mestre;15/07/2002;0;2124-05;16/04/2025;;;T;00025;;;;;;26;0;0;0;"Responsável por obras na construção civil.
Utiliza equipamentos de segurança, visando a redução ou até mesmo o término de registros de acidente de trabalho.";006;;
1;00028;"Auxilia o Pedreiro nas tarefas pertinentes a obras na construção civil.
Utiliza equipamentos de segurança, visando a redução ou até mesmo o término de registros de acidente de trabalho.";Servente;;08320;;09;1;0;;A;mestre;;;2124-05;16/04/2025;;;T;00025;;;;;;27;0;0;0;"Auxilia o Pedreiro nas tarefas pertinentes a obras na construção civil.
Utiliza equipamentos de segurança, visando a redução ou até mesmo o término de registros de acidente de trabalho.";;;
1;00029;"Fabrica peças de almunío fundido, armações em ferro, estruturas metálicas para construção civil.
Utiliza equipamentos de segurança, visando a redução ou até mesmo o término de registros de acidente de trabalho.";Armador;;08320;;09;0;0;;A;mestre;15/07/2002;0;2124-05;16/04/2025;;;T;00025;;;;;;28;0;0;0;"Fabrica peças de almunío fundido, armações em ferro, estruturas metálicas para construção civil.
Utiliza equipamentos de segurança, visando a redução ou até mesmo o término de registros de acidente de trabalho.";006;;
1;00030;"Auxilia o armador na fabricação de  peças de almunío fundido, armações em ferro, estruturas metálicas para construção civil.
Utiliza equipamentos de segurança, visando a redução ou até mesmo o término de registros de acidente de trabalho.";Ajudante  Armação;;08320;;09;0;0;;A;mestre;15/07/2002;0;2124-05;16/04/2025;;;T;00025;;;;;;29;0;0;0;"Auxilia o armador na fabricação de  peças de almunío fundido, armações em ferro, estruturas metálicas para construção civil.
Utiliza equipamentos de segurança, visando a redução ou até mesmo o término de registros de acidente de trabalho.";006;;
1;00031;Responsável pela fabricação de esquadria de madeira, de casas de madeira pré fabricadas, de estruturas de madeira laminada, chapas compensadas,  pressandas e aglomerados;Carpinteiro;;08320;;09;0;0;;A;mestre;15/07/2002;0;2124-05;16/04/2025;;;T;00025;;;;;;30;0;0;0;Responsável pela fabricação de esquadria de madeira, de casas de madeira pré fabricadas, de estruturas de madeira laminada, chapas compensadas,  pressandas e aglomerados;006;;
1;00032;"Auxilia o Carpinteiro, no trabalho artesanal em obras grosseiras de madeira, cortando e lixando a madeira, limpando a serragem do ambiente de trabalho e buscando os equipamentos necessários para que o carpinteiro possa trabalhar na madeira conforme necessário.
";Ajudante de Carpinteiro;;08320;;09;0;0;;A;mestre;15/07/2002;0;2124-05;16/04/2025;;;T;00025;;;;;;31;0;0;0;"Auxilia o Carpinteiro, no trabalho artesanal em obras grosseiras de madeira, cortando e lixando a madeira, limpando a serragem do ambiente de trabalho e buscando os equipamentos necessários para que o carpinteiro possa trabalhar na madeira conforme necessário.
";006;;
1;00033;Testes ;Advogado;1500,00;08320;;04;0;0;;E;mestre;18/03/2002;1;2124-05;16/04/2025;;;T;00001;;;;;;32;0;0;0;;000;;
1;00034;;Recepcionista;;33550;;01;0;0;;;mestre;;;33550.2;16/04/2025;;;T;00003;;;;;;33;0;0;0;;;;
1;00035;Responsável por ministrar aulas para as turmas/disciplinas da instituição;Professor;;13990;;13;0;0;;;mestre;;;234510;16/04/2025;;;T;;;;;;;34;0;0;0;Responsável por ministrar aulas para as turmas/disciplinas da instituição;100;;
